Job Zone,Code,Occupation,url,Median Wage,Projected Growth,"Employment Change, 2024-2034",Projected Job Openings,Top Education Level,Sample Job Titles,Job Description,ai_proof_score,final_ranking,key_drivers,Calculation Type,Unpaid Training Years,Training Cost ($),Yr1 ($),Yr2 ($),Yr3 ($),Yr4 ($),Yr5 ($),Yr6 ($),Yr7 ($),Yr8 ($),Yr9 ($),Yr10 ($),10-Year Net Earnings ($),10-Year Net Earnings Calculation,10-Year Net Earnings Calculation Model,Difficulty Score,Difficulty Score Explanation,How to Get There,Job Market,Pension
4,11-1021.00,General and Operations Managers,https://www.onetonline.org/link/summary/11-1021.00,"$49.50 hourly, $102,950 annual",Average (3% to 4%),4.4,"308,700",High school diploma or equivalent,"Business Manager, Center Manager, Department Manager, District Manager, General Manager (GM), Operations Director, Operations General Manager (Operations GM), Operations Manager, Plant Superintendent, Store Manager","Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors.",3.6,0.712,"General and operations managers thrive because their core job is navigating complex organizational politics, managing competing stakeholder interests, and making high-stakes judgment calls that depend on deep knowledge of their specific organization. AI will actually help these managers by automating reporting, data analysis, and routine communications, freeing them to focus on strategy and people. The role's heavy reliance on reading human dynamics and institutional context makes it difficult for AI to replicate.",linear,0,0,60000,64772,69544,74317,79089,83861,88633,93406,98178,102950,814750,"Linear: ($60,000 up to $102,950) over 10 yrs − $0 training = $814,750","1. Paid Training: Progression entirely via on-the-job experience and internal promotions (0 unpaid years, $0 cost).
2. Earnings trajectory: Salary grows linearly from an estimated junior manager salary ($60k) to the BLS median of $102,950.",Medium,"Requires significant on-the-job performance and leadership skills to rise through the ranks. No formal licensing barriers or grueling physical requirements, but competition for top management spots is high.","Start in an entry-level position (retail associate, warehouse worker). Work up to a frontline supervisor, demonstrate problem-solving over 5-10 years, and earn promotion to general manager. No specific out-of-pocket costs.","308,700 projected annual openings. Very strong and steady demand across almost all industries as companies need experienced human leaders on site.",Rarely includes a defined-benefit pension outside of specific government or union structures. Typically relies on employer-sponsored 401(k) plans and performance bonuses.
3,33-3051.00,Police and Sheriff's Patrol Officers,https://www.onetonline.org/link/summary/33-3051.00,"$36.68 hourly, $76,290 annual",Average (3% to 4%),3.1,"53,700",High school diploma or equivalent,"Deputy, Deputy Sheriff, Law Enforcement Officer, Patrol Deputy, Patrol Officer, Peace Officer, Police Officer, Police Patrol Officer, Public Safety Officer, State Trooper","Maintain order and protect life and property by enforcing local, tribal, state, or federal laws and ordinances. Perform a combination of the following duties: patrol a specific area; direct traffic; issue traffic summonses; investigate accidents; apprehend and arrest suspects, or serve legal processes of courts. Includes police officers working at educational institutions.",3.7,0.675,"Patrol officers must be physically present in unpredictable, often dangerous environments—responding to emergencies, making split-second decisions, and physically intervening in conflicts. They carry significant legal authority and personal liability for use of force and arrest decisions, which society requires a human to exercise. AI may help with report writing and data analysis, but the core job of showing up and making judgment calls on the street is deeply resistant to automation.",ladder,0,0,60000,63000,66000,69000,72000,76290,78579,80936,83364,85865,735034,"Yr1 $60,000 + Yr2 $63,000 + Yr3 $66,000 + Yr4 $69,000 + Yr5 $72,000 + Yr6 $76,290 + Yr7 $78,579 + Yr8 $80,936 + Yr9 $83,364 + Yr10 $85,865 = $735,034 − $0 training = $735,034","1. Paid Training (Employer pays trainee): Paid academy (~6 months) followed by paid on-the-job probationary period. 0 unpaid years. Cost is $0.
2. Earnings trajectory: Step-based salary schedule. Starts around $60k. Steps increase steadily each year of service, reaching the $76,290 median at Year 6. Followed by 3% annual growth thereafter.",Medium,"Rigorous hiring process including physical fitness tests, psychological evaluations, background checks, and polygraphs. The 6-month academy and subsequent probationary field training wash out many candidates. High mental and physical strain.","Apply to a local or state department. Pass physical, written, background, and psych exams. Attend a 6-month police academy (usually paid from day one by the hiring department). Complete a 6-12 month probationary period with a Field Training Officer (FTO). $0 out-of-pocket costs.","53,700 openings globally per year. Extreme ongoing shortage of qualified applicants nationwide gives immense leverage and job security to those who can pass the background and academy phases.","Strong defined-benefit pensions are standard. Many departments allow officers to retire after 20-25 years of service, sometimes as early as age 50, with a substantial percentage of their final average salary."
3,25-2011.00,"Preschool Teachers, Except Special Education",https://www.onetonline.org/link/summary/25-2011.00,"$17.85 hourly, $37,120 annual",Average (3% to 4%),4.1,"65,500",High school diploma or equivalent,"Child Development Teacher, Early Childhood Teacher, Group Teacher, Infant Teacher, Montessori Preschool Teacher, Nursery Teacher, Pre-Kindergarten Teacher (Pre-K Teacher), Teacher, Toddler Teacher","Instruct preschool-aged students, following curricula or lesson plans, in activities designed to promote social, physical, and intellectual growth.",3.5,0.663,"Preschool teaching is fundamentally about being physically present with young children and building the trusting, nurturing relationships that drive early childhood development. Parents are entrusting their children to a caring human—no AI substitute would be acceptable for this age group. The teacher grows alongside their students and adapts constantly to each child's emotional and developmental needs, making this a deeply human role that technology supports but cannot replace.",linear,0,500,30000,30791,31582,32373,33164,33956,34747,35538,36329,37120,335100,"Linear: ($30,000 up to $37,120) over 10 yrs − $500 training = $335,100","1. Student Pays: Start with a high school diploma. Many obtain a CDA credential (~$500) while working. 0 unpaid training years.
2. Earnings trajectory: Salary grows linearly from estimated $30k entry-level to BLS median $37,120 over 10 years.",Low,"Minimal formal barriers to entry compared to K-12 teaching. Background checks and basic certifications are easy to obtain. However, the emotional and physical toll of managing classrooms of toddlers leads to high turnover.",High school diploma. Obtain CPR/First Aid certification and pass state-mandated background clearances. Many center directors require a Child Development Associate (CDA) credential ($425 exam fee + training costs) within the first 1-2 years of employment.,"65,500 annual openings. Severe nationwide shortages of childcare workers driven by low pay and high turnover ensure immediate hire for basically anyone qualified.","Except for those working within public school systems, preschool teachers in private daycares rarely receive pensions and often lack even basic 401(k) matches."
3,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,https://www.onetonline.org/link/summary/47-1011.00,"$37.83 hourly, $78,690 annual",Faster than average (5% to 6%),5.3,"74,400",Post-secondary certificate,"Coal Mine Production Foreman, Construction Foreman, Construction Supervisor, Electrical Supervisor, Field Operations Supervisor, Field Supervisor, Insulation Foreman, Roustabout Field Supervisor, Sheet Metal Foreman, Site Superintendent",Directly supervise and coordinate activities of construction or extraction workers.,3.4,0.662,"Construction supervisors must be physically present on job sites every day, managing crews across unpredictable conditions like weather, terrain, and material availability that change constantly. Their value comes from years of accumulated knowledge about how things actually get built—knowing which subcontractors to trust, how to sequence work around problems, and how to keep projects moving when plans fall apart. AI will help with scheduling and logistics, but the hands-on leadership and real-time human judgment on a construction site can't be automated.",ladder,0,1200,34000,35020,36071,37153,59310,70000,72172,74345,76518,78690,572078,"Yr1 $34,000 + Yr2 $35,020 + Yr3 $36,071 + Yr4 $37,153 + Yr5 $59,310 + Yr6 $70,000 + Yr7 $72,172 + Yr8 $74,345 + Yr9 $76,518 + Yr10 $78,690 = $573,278 − $1,200 training = $572,078","1. Paid Training: Mapped from day one of a trade apprenticeship (most commonly carpentry). Includes $1,000 for tools plus $200 for OSHA/Safety certs. 0 unpaid years.
2. Earnings trajectory: Salary starts at entry apprentice wage ($34k). Reaches Journeyman status at Year 5 ($59k). Promotion to Supervisor occurs at Year 6, jumping to ~$70k and growing to the $78,690 median.",Medium,"Requires physically demanding years in a direct trade to gain the necessary field expertise and respect of crews. No complex academic barriers, but the leadership, logistics, and physical elements are challenging.","Work 3-5 years in a construction trade (e.g., carpentry, electrical, plumbing, heavy equipment). Demonstrate reliability, complete safety certifications like OSHA 30 ($150-$200), and be promoted to crew leader or foreman.","74,400 annual openings. Strong demand as older, experienced tradesmen retire and construction activity remains resilient.",Unionized foremen participate in excellent multi-employer defined-benefit pension funds. Non-union supervisors rely on employer 401(k) matching.
3,47-2111.00,Electricians,https://www.onetonline.org/link/summary/47-2111.00,"$29.98 hourly, $62,350 annual",Much faster than average (7% or higher),9.5,"81,000",Post-secondary certificate,"Control Electrician, Electrical Journey Person, Electrical Troubleshooter, Electrician, Housing Maintenance Electrician, Industrial Electrician, Inside Wireman, Maintenance Electrician, Paper Mill Electrician, Wireman","Install, maintain, and repair electrical wiring, equipment, and fixtures. Ensure that work is in accordance with relevant codes. May install or service street lights, intercom systems, or electrical control systems.",3.2,0.659,"Electricians work in constantly changing physical environments—new construction sites, existing buildings with hidden wiring, and outdoor settings—where every job is a little different and robots simply can't operate effectively. The work requires state licensure and code compliance, meaning a qualified human must be responsible for the finished product. Homeowners and businesses also place real trust in their electrician, especially for safety-critical work, and growing electrification trends should support steady demand.",ladder,0,500,30000,30900,31827,32781,62350,64220,66147,68131,70175,72280,528311,"Yr1 $30,000 + Yr2 $30,900 + Yr3 $31,827 + Yr4 $32,781 + Yr5 $62,350 + Yr6 $64,220 + Yr7 $66,147 + Yr8 $68,131 + Yr9 $70,175 + Yr10 $72,280 = $528,811 − $500 training = $528,311","1. Paid Training: 4-5 year paid apprenticeship (0 unpaid years). Requires approx $500 out-of-pocket for initial tools; tuition typically covered by JATC.
2. Earnings trajectory: Starts around $30k. Steady 3% annual increases during apprenticeship. Large salary jump upon passing Journeyman exam (Year 5), reaching the median of $62,350. Progression continues past median at 3% annually.",Medium,"Highly competitive to get into sought-after JATC union apprenticeships. The 4-5 year paid training is rigorous, combining tough physical work during the day with technical classroom learning at night. Difficult licensing exam.","High school diploma with basic algebra. Apply to a Joint Apprenticeship and Training Committee (JATC) or non-union contractor. Pass an aptitude test and interview. Complete 4-5 years of paid on-the-job training (8,000 hours) plus classes. Pass state Journeyman Exam ($100-$300).","81,000 annual openings. Incredible long-term demand driven by the green energy transition, grid upgrades, EV infrastructure, and an aging workforce.","IBEW union electricians receive some of the best retirement benefits in the country, including dual defined-benefit pensions (local and national) and annuities. Non-union options are standard 401(k)."
3,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers,https://www.onetonline.org/link/summary/33-1021.00,"$44.44 hourly, $92,430 annual",Average (3% to 4%),3.4,"6,500",High school diploma or equivalent,"Engine Boss, Fire Battalion Chief, Fire Captain, Fire Chief, Fire Lieutenant, Fire Marshal, Fire Prevention Chief, Fire Suppression Captain, Forest Fire Specialist Supervisor, Section Forest Fire Warden",Directly supervise and coordinate activities of workers engaged in firefighting and fire prevention and control.,3.9,0.657,"Fire supervisors lead crews into genuinely dangerous, chaotic environments where every incident is different and mistakes cost lives—this is exactly the kind of novel, high-stakes judgment that AI cannot replicate. Physical presence at the scene is non-negotiable, and these leaders carry serious legal and ethical responsibility for crew safety and incident outcomes. The role also transforms its practitioners over time; years of emergency experience build intuition and leadership capacity that are inseparable from the value they deliver.",ladder,0,0,50000,51500,53045,54636,56275,82122,84586,87124,89738,92430,701456,"Yr1 $50,000 + Yr2 $51,500 + Yr3 $53,045 + Yr4 $54,636 + Yr5 $56,275 + Yr6 $82,122 + Yr7 $84,586 + Yr8 $87,124 + Yr9 $89,738 + Yr10 $92,430 = $701,456 − $0 training = $701,456","1. Paid Training: Paid fire academy followed by OJT. 0 unpaid years. Cost is $0 as the department sponsors the recruit.
2. Earnings trajectory: Salary starts at typical entry firefighter wage (~$50k). Grows 3% annually. Experiences a large jump at Year 6 upon promotion to supervisor (~$82k), growing 3% to terminate at the median of $92,430.",High,"Requires passing rigorous physical and written exams to become a firefighter, surviving a tough probationary period, and then gaining years of on-the-job experience before passing highly competitive promotional exams.","Start as a probationary firefighter (paid academy). Complete 5-8 years of service while acquiring advanced certifications (e.g., EMT, Hazmat, Fire Officer I/II). Pass a competitive written and interview-based promotional exam for Lieutenant/Captain.","6,500 annual openings. Steady demand as municipal fire departments replace retiring leaders, with intense internal competition for promotion spots.","Excellent defined-benefit pensions are standard, often allowing retirement after 20-25 years of service at a high percentage of final average salary."
3,29-1126.00,Respiratory Therapists,https://www.onetonline.org/link/summary/29-1126.00,"$38.68 hourly, $80,450 annual",Much faster than average (7% or higher),12.1,"8,800",Associate's degree,"Cardiopulmonary Rehabilitation Respiratory Therapist, Certified Respiratory Therapist (CRT), Registered Respiratory Therapist (RRT), Respiratory Care Practitioner (RCP), Respiratory Therapist (RT), Staff Respiratory Therapist, Staff Therapist","Assess, treat, and care for patients with breathing disorders. Assume primary responsibility for all respiratory care modalities, including the supervision of respiratory therapy technicians. Initiate and conduct therapeutic procedures; maintain patient records; and select, assemble, check, and operate equipment.",3.5,0.657,"Respiratory therapists must be physically at the bedside, managing airways and operating life-support equipment on real patients in critical situations. They are licensed professionals with direct accountability for patient outcomes, and the hands-on clinical nature of the work makes it very hard to automate. AI will actually help by streamlining charting and monitoring, freeing therapists to focus on more patients—and an aging population means demand is growing.",linear,2,10000,0,0,60000,62921,65843,68764,71686,74607,77529,80450,551800,"Linear: ($60,000 up to $80,450) over 8 yrs − $10,000 training = $551,800","1. Student Pays: 2-year Associate's degree required (~$10,000). 2 unpaid years.
2. Earnings trajectory: Salary grows linearly from new-grad entry (~$60k) to the BLS median $80,450.",Medium,"Requires completing a challenging, science-heavy Associate's degree program with clinical rotations. Students must pass the rigorous TMC (Therapist Multiple-Choice) Examination for licensure.","Complete a 2-year CoARC-accredited Associate's degree in Respiratory Care ($5k-$15k). Pass the NBRC TMC exam ($190) to become a Certified Respiratory Therapist (CRT), and often the Clinical Simulation Examination ($200) for the Registered (RRT) credential.","8,800 annual openings. High demand driven by an aging population with increasing rates of cardiopulmonary disease.",Rarely includes a defined-benefit pension; usually relies on hospital/employer-sponsored 401(k) or 403(b) plans.
3,49-9041.00,Industrial Machinery Mechanics,https://www.onetonline.org/link/summary/49-9041.00,"$30.65 hourly, $63,760 annual",Much faster than average (7% or higher),16.1,"45,700",Post-secondary certificate,"Industrial Machinery Mechanic, Industrial Mechanic, Loom Fixer, Loom Technician, Machine Adjuster, Machine Mechanic, Maintenance Technician, Mechanic, Overhauler, Sewing Machine Mechanic","Repair, install, adjust, or maintain industrial production and processing machinery or refinery and pipeline distribution systems. May also install, dismantle, or move machinery and heavy equipment according to plans.",3.1,0.654,"This job is fundamentally hands-on—mechanics diagnose and repair complex industrial equipment in unpredictable, physically demanding environments where every machine and breakdown is different. Robots cannot replicate the dexterity and real-time problem-solving needed to work on aging, varied equipment in tight spaces. Their deep familiarity with specific plant machinery makes them hard to replace, and as factories adopt more automated systems, someone still needs to keep those systems running.",linear,1,5000,0,45000,47345,49690,52035,54380,56725,59070,61415,63760,484420,"Linear: ($45,000 up to $63,760) over 9 yrs − $5,000 training = $484,420","1. Student Pays: 1-year certificate used as the shortest path to solid earning (~$5,000). 1 unpaid year.
2. Earnings trajectory: Salary grows linearly from ~$45k starting wage up to the $63,760 median.",Low,"Entering the field is relatively accessible via community college certificates or direct apprenticeships, though the work itself is physically demanding and requires strong mechanical aptitude.","Complete a 1-year certificate in industrial maintenance or mechatronics (~$5,000) or secure an entry-level maintenance role and learn via OJT over 1-2 years.","45,700 annual openings. Extremely strong job market as automated manufacturing and distribution centers grow, requiring human mechanics to keep robots and conveyors running.","Unionized positions (e.g., auto plants) offer defined-benefit pensions, but many roles rely on 401(k) matches."
3,29-2053.00,Psychiatric Technicians,https://www.onetonline.org/link/summary/29-2053.00,"$20.47 hourly, $42,590 annual",Much faster than average (7% or higher),20,"15,900",Associate's degree,"BHT (Behavioral Health Technician), Health Care Technician (Health Care Tech), LPT (Licensed Psychiatric Technician), Mental Health Associate, Mental Health Specialist, Mental Health Technician (MHT), MHA (Mental Health Assistant), MHW (Mental Health Worker), Psychiatric Technician (PT), Residential Aide (RA)","Care for individuals with mental or emotional conditions or disabilities, following the instructions of physicians or other health practitioners. Monitor patients' physical and emotional well-being and report to medical staff. May participate in rehabilitation and treatment programs, help with personal hygiene, and administer oral or injectable medications.",3.2,0.651,"Psychiatric technicians work directly with patients in clinical settings, monitoring behavior, administering medications, and responding to crises that require real-time human presence and judgment. Patients in psychiatric care need to trust the people around them, and that human relationship is central to effective treatment. AI may help with documentation and monitoring, freeing these workers to spend more time on direct patient care.",linear,1,5000,0,32000,33324,34648,35971,37295,38619,39942,41266,42590,330655,"Linear: ($32,000 up to $42,590) over 9 yrs − $5,000 training = $330,655","1. Student Pays: 1-year certificate program (~$5,000). 1 unpaid year.
2. Earnings trajectory: Salary grows linearly from a $32k starting wage up to the $42,590 median.",Low,"Entry barriers are low, often requiring only a 1-year certificate or an associate degree, with high acceptance rates. The main difficulty is the emotional and physical toll of the work environment.","Complete a 1-year psychiatric technician certificate program at a community college or vocational school (~$5,000), followed by state licensure exams if required (e.g., in California).","15,900 annual openings. Steady demand due to growing behavioral health and substance abuse treatment needs, coupled with somewhat high burnout/turnover.",Those working in state hospitals or VA systems have strong government defined-benefit pensions. Private facilities rely on 401(k) plans.
3,29-2043.00,Paramedics,https://www.onetonline.org/link/summary/29-2043.00,"$28.08 hourly, $58,410 annual",Faster than average (5% to 6%),5,"4,900",Associate's degree,"First Responder, Flight Paramedic, Paramedic","Administer basic or advanced emergency medical care and assess injuries and illnesses. May administer medication intravenously, use equipment such as EKGs, or administer advanced life support to sick or injured individuals.",3.8,0.65,"Paramedics must be physically present in chaotic, unpredictable emergency scenes—car accidents, homes, public spaces—where no two calls are alike and split-second life-or-death decisions are routine. They are licensed medical professionals who bear direct legal responsibility for patient care. Patients and families also deeply need the human presence and trust that comes with emergency medical care, something no AI system can replace when someone's life is on the line.",linear,1.5,8000,0,24000,49301,50602,51904,53205,54506,55808,57109,58410,446845,"Linear: ($48,000 up to $58,410) over 8.5 yrs − $8,000 training = $446,845","1. Student Pays: 1.5 years of total schooling (EMT + Paramedic ~ $8,000). 1.5 unpaid years.
2. Earnings trajectory: Salary grows linearly from an entry wage of $48k up to the $58,410 median. Year 2 is prorated to 50% ($24,000) due to fractional unpaid training.",Medium,"High-stress training environment. Requires first becoming an EMT, then completing a rigorous 1,000+ hour paramedic program with clinical and field internships, followed by the difficult NREMT cognitive and psychomotor exams.","Obtain EMT certification (3-6 months). Work as an EMT, then complete a Paramedic certificate program (1-1.5 years, ~$8,000). Pass the National Registry of Emergency Medical Technicians (NREMT) Paramedic exams.","4,900 annual openings. High demand and consistent shortages globally due to the intense physical and mental demands leading to early burnout.","Municipal or fire-based EMS (e.g., FDNY EMS) offer defined-benefit pensions. Private ambulance companies typically offer only 401(k)s."
