Job Zone,Code,Occupation,Data-level,url,Median Wage,Projected Growth,Projected Job Openings,ai_proof_score,final_ranking,key_drivers
5,21-1014.00,Mental Health Counselors,Y,https://www.onetonline.org/link/summary/21-1014.00,"$28.46 hourly, $59,190 annual",Much faster than average (7% or higher),"48,300",4.7,0.948,"The therapeutic relationship is the intervention—clients seek a specific human for their perspective, empathy, and presence. Novel judgment is constant (assessing suicidality, diagnosing, choosing modality). Licensed accountability means society requires human sign-off. Counselors bring a genuine POV shaped by their own transformation through client relationships. Administrative overhead (notes, insurance, session planning) is meaningful and compressible by AI."
2,31-1121.00,Home Health Aides,Y,https://www.onetonline.org/link/summary/31-1121.00,"$16.78 hourly, $34,900 annual",Much faster than average (7% or higher),"765,800",4.2,0.946,"Core defensibility rests on irreplaceable physical presence (bathing, toileting, mobility assistance), the centrality of human trust and relationship to care, and genuine emotional growth through caregiving relationships. Clients specifically value the human aide, not an alternative delivery mechanism. Aging populations will drive upstream expansion, increasing demand for aides even as monitoring AI improves."
5,21-1022.00,Healthcare Social Workers,Y,https://www.onetonline.org/link/summary/21-1022.00,"$32.74 hourly, $68,090 annual",Much faster than average (7% or higher),"18,400",4.6,0.914,"Trust and the therapeutic relationship are the core product—patients seek a caring advocate, not just resources or information. The role requires genuine transformation through relational connection, high-stakes judgment in complex social situations, and legal accountability for care coordination. Deep organizational knowledge of systems and stakeholder networks further protects the role."
5,21-1023.00,Mental Health and Substance Abuse Social Workers,Y,https://www.onetonline.org/link/summary/21-1023.00,"$28.88 hourly, $60,060 annual",Much faster than average (7% or higher),"13,500",4.6,0.908,"This role's core is the human therapeutic relationship—trust, accountability, and transformation through the relationship are central to outcomes. Practitioners regularly face novel, high-stakes situations (suicide risk, trauma, complex family dynamics) requiring judgment that pattern-matching cannot replicate. Licensed accountability means AI cannot substitute. Administrative burden (case notes, referrals, benefit applications) is significant and AI will compress it, freeing capacity for more direct care."
5,29-1129.01,Art Therapists,Y,https://www.onetonline.org/link/summary/29-1129.01,"$31.26 hourly, $65,010 annual",Much faster than average (7% or higher),"4,100",4.8,0.907,Art therapy's core value is the therapeutic relationship and the client's transformation through creative expression—both irreducibly human and trust-dependent. The role requires deep contextual knowledge of each client's history and genuine two-way growth through the therapeutic process. Legal accountability as a licensed mental health professional provides additional protection.
5,29-1127.00,Speech-Language Pathologists,Y,https://www.onetonline.org/link/summary/29-1127.00,"$45.87 hourly, $95,410 annual",Much faster than average (7% or higher),"13,300",4.6,0.907,Licensed professional with direct legal accountability and board certification; clinical judgment in diagnosis and treatment of neurological/developmental speech disorders is genuinely complex and novel. Trust in the practitioner is the core product—patients and families buy the SLP's expertise and therapeutic relationship. Significant administrative/assessment burden could be compressed by AI tools without displacing clinical decision-making.
4,15-1299.04,Penetration Testers,Y,https://www.onetonline.org/link/summary/15-1299.04,"$52.39 hourly, $108,970 annual",Much faster than average (7% or higher),"31,300",4.4,0.901,"Penetration testers navigate genuinely novel security scenarios (A3: 5) and must render judgment on novel attack vectors where stakes are critical (A3: 5). Legal/compliance accountability is high (A4: 4) as reports have legal weight. AI will automate routine scanning and documentation (A9: 4), freeing experts to focus on creative, adversarial reasoning—making this a role AI enhances rather than displaces."
5,25-1071.00,"Health Specialties Teachers, Postsecondary",Y,https://www.onetonline.org/link/summary/25-1071.00,"$105,620 annual",Much faster than average (7% or higher),"27,400",4.4,0.898,"The core value—transforming learners through mentorship and modeling clinical expertise—is inseparable from the teacher-student relationship. Deep institutional knowledge of curricula and faculty context, combined with novel judgment in adaptive instruction, provides strong defense. Physical presence in labs/clinics and genuine two-way growth with students further solidify resilience."
5,29-1024.00,Prosthodontists,Y,https://www.onetonline.org/link/summary/29-1024.00,"$115.00+ hourly, $239,200+ annual",Faster than average (5% to 6%),0,4.5,0.897,"Prosthodontistry is anchored by physical presence (complex intraoral and lab work), legal licensure and accountability, and trust as a core product—patients choose prosthodontists for expertise and interpersonal confidence in managing complex dental restoration. Judgment on material selection, design, and patient adaptation is novel and context-specific. Creative skill in aesthetic and functional design is valued. AI will assist with treatment planning and CAD/CAM design but cannot replace the licensed practitioner's judgment and hands-on skill."
5,21-1013.00,Marriage and Family Therapists,Y,https://www.onetonline.org/link/summary/21-1013.00,"$30.66 hourly, $63,780 annual",Much faster than average (7% or higher),"7,700",4.6,0.895,"The human relationship IS the product in family therapy—clients buy trust, presence, and witnessed understanding, not just advice or techniques. The therapist's capacity to be genuinely changed by each client's story and to navigate unprecedented family dynamics is core to efficacy. Licensed mental health professionals carry legal and ethical accountability for treatment decisions. AI cannot replicate the relational transformation that makes therapy work."
4,29-1141.03,Critical Care Nurses,Y,https://www.onetonline.org/link/summary/29-1141.03,"$45.00 hourly, $93,600 annual",Faster than average (5% to 6%),"189,100",4.5,0.893,"Critical care nurses are among the most resilient healthcare roles: they require constant physical presence in highly unstructured, medically complex environments (A1: 5), making real-time clinical judgment calls in life-or-death situations where AI support is supplemental not substitutive (A3: 5). Trust and human presence are core to patient safety and comfort (A2: 4), legal accountability is direct and non-delegable (A4: 5), and the role is continuously transformed by patient relationships (A8: 4). Deep institutional knowledge of unit protocols and patient histories (A5: 4) further protects the role, while AI tools for monitoring and data synthesis (A9: 4) expand rather than replace expert judgment."
5,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",Y,https://www.onetonline.org/link/summary/29-1122.01,"$47.28 hourly, $98,340 annual",Much faster than average (7% or higher),"10,200",4.5,0.889,"This role is heavily anchored by physical presence in unstructured environments (client homes, streets, varied terrain), genuine human trust as the core product, and profound relational transformation where the therapist's growth through client interaction is inseparable from outcomes. Legal accountability for rehabilitation planning and high-stakes mobility judgment in novel situations further protect against automation."
5,29-1171.00,Nurse Practitioners,Y,https://www.onetonline.org/link/summary/29-1171.00,"$62.12 hourly, $129,210 annual",Much faster than average (7% or higher),"29,500",4.3,0.887,Legal prescriptive authority and liability are non-negotiable; NPs must sign for diagnoses and treatment plans. High-stakes judgment in ambiguous presentations (differentiating serious from benign conditions) is core work. Deep knowledge of patient history and established relationships shape clinical decisions.
4,11-3031.01,Treasurers and Controllers,Y,https://www.onetonline.org/link/summary/11-3031.01,"$77.74 hourly, $161,700 annual",Much faster than average (7% or higher),"74,600",4.1,0.883,"Treasurers and controllers score high on A3 (navigating novel financial scenarios, regulatory uncertainty, and capital structure decisions), A4 (licensed/certified professional with fiduciary legal accountability), and A5 (deep institutional knowledge of company operations, relationships, and financial history). A2 is high (board trust and reputation are central). A9 is very high (AI will handle routine GL management, reconciliation, compliance reporting, freeing CFOs for strategy). A10 is strong: CFOs will increasingly manage financial AI systems and validate outputs."
5,29-1071.00,Physician Assistants,Y,https://www.onetonline.org/link/summary/29-1071.00,"$64.07 hourly, $133,260 annual",Much faster than average (7% or higher),"12,000",4.4,0.88,"PAs are highly resilient due to mandatory licensure, direct patient accountability, and the need for high-stakes clinical judgment in variable, novel situations. Patient trust and the relational element of care are core to outcomes. Deep organizational knowledge of protocols and patient histories is accumulated over time. AI can handle documentation, routine screening, and preliminary data synthesis, expanding PA capacity."
5,15-1221.00,Computer and Information Research Scientists,Y,https://www.onetonline.org/link/summary/15-1221.00,"$67.74 hourly, $140,910 annual",Much faster than average (7% or higher),"3,200",4.6,0.876,"Novel judgment in unprecedented research problems (A3=5) is the core of the role; these scientists regularly navigate ambiguous, high-stakes situations where established patterns fail. Creative output with distinct perspective (A7=4) is valued by the academic/research community. Legal accountability is limited (A4=2), but defensiveness comes from authentic intellectual contribution."
5,21-1011.00,Substance Abuse and Behavioral Disorder Counselors,Y,https://www.onetonline.org/link/summary/21-1011.00,"$28.46 hourly, $59,190 annual",Much faster than average (7% or higher),"48,300",4.1,0.873,"Trust and human relationship are the core product (A2: 5)—clients require genuine human accountability and therapeutic alliance that AI cannot replicate. High-stakes judgment in ambiguous, novel situations (A3: 4) and legal/ethical licensing (A4: 4) create strong legal defenses. Deep contextual knowledge of individual client histories (A5: 4) requires sustained human relationships. Practitioners are genuinely transformed by client interactions (A8: 4)."
5,19-3033.00,Clinical and Counseling Psychologists,Y,https://www.onetonline.org/link/summary/19-3033.00,"$46.07 hourly, $95,830 annual",Much faster than average (7% or higher),"4,800",4.5,0.872,"Trust and human relationship are foundational (A2=5); role requires novel clinical judgment in highly ambiguous, high-stakes situations (A3=5); legal liability and licensure provide strong accountability shield (A4=5). Practitioners are transformed by client relationships (A8=4), and deep knowledge of individual history is irreplaceable (A5=4)."
4,11-9021.00,Construction Managers,Y,https://www.onetonline.org/link/summary/11-9021.00,"$51.43 hourly, $106,980 annual",Much faster than average (7% or higher),"46,800",4.1,0.872,"Construction managers make high-stakes, novel judgments in complex, variable field conditions—budgets, safety, weather, and stakeholder dynamics are constantly shifting and require genuine reasoning. Legal accountability is high; licensing and liability protect the role. Deep contextual knowledge of specific projects, teams, and subcontractors is a significant asset. Current role includes substantial administrative work that AI will compress."
5,17-2112.01,Human Factors Engineers and Ergonomists,Y,https://www.onetonline.org/link/summary/17-2112.01,"$48.63 hourly, $101,140 annual",Much faster than average (7% or higher),"25,200",4.2,0.871,"This is a high-zone engineering role (Zone 5) requiring novel judgment in complex, ambiguous design and safety scenarios where stakes are often legal and regulatory. Deep product/organizational context is essential; the work fundamentally improves through the engineer's iterative learning from user feedback and design failures."
4,15-2051.00,Data Scientists,Y,https://www.onetonline.org/link/summary/15-2051.00,"$54.13 hourly, $112,590 annual",Much faster than average (7% or higher),"23,400",4.2,0.87,"Significant judgment required in novel, ambiguous analytical situations where domain context and business acumen drive insight—not just statistical mechanics. Deep organizational knowledge of data infrastructure, stakeholder needs, and strategic priorities is accumulated over years. Massive administrative/documentation burden (feature engineering, model tuning, reporting) will be AI-automated."
4,29-1129.02,Music Therapists,Y,https://www.onetonline.org/link/summary/29-1129.02,"$31.26 hourly, $65,010 annual",Much faster than average (7% or higher),"4,100",4.5,0.869,"The human therapeutic relationship is the core product (A2=5)—patients buy genuine human connection and accountability, not AI delivery. The role requires being transformed by the relationship with clients (A8=5), and licensure creates legal accountability (A4=4). Physical presence and relational judgment in session (A1=4, A3=4) are both essential."
5,29-1141.04,Clinical Nurse Specialists,Y,https://www.onetonline.org/link/summary/29-1141.04,"$45.00 hourly, $93,600 annual",Faster than average (5% to 6%),"189,100",4.3,0.868,"Physical presence and hands-on clinical skill in unstructured healthcare settings (A1=4); trust and accountability are central to clinical practice (A2=4, A4=4); frequent novel judgment in ambiguous patient situations (A3=4). Deep institutional and patient knowledge (A5=4) and transformation through patient relationships (A8=4) provide strong defense."
4,29-1141.00,Registered Nurses,Y,https://www.onetonline.org/link/summary/29-1141.00,"$45.00 hourly, $93,600 annual",Faster than average (5% to 6%),"189,100",4.3,0.868,"Legal accountability (must be licensed RN), high-stakes novel judgment in patient-specific contexts, and deep relational trust with vulnerable populations create strong multi-layered defense. Physical presence in patient care is irreplaceable for many interventions. Significant administrative burden (charting, documentation) will be compressed by AI, freeing capacity for hands-on care."
5,29-1131.00,Veterinarians,Y,https://www.onetonline.org/link/summary/29-1131.00,"$60.34 hourly, $125,510 annual",Much faster than average (7% or higher),"3,000",4.5,0.862,"Veterinarians operate under legal and ethical accountability (veterinary license, malpractice liability) and must render judgment in novel clinical situations—diagnosis, surgery, treatment planning—where stakes are high and owner trust is core. Deep accumulated knowledge of individual animal history and client relationships is essential. However, veterinary practice is increasingly protocol-driven and AI diagnostic tools are rapidly advancing."
3,29-1292.00,Dental Hygienists,Y,https://www.onetonline.org/link/summary/29-1292.00,"$45.32 hourly, $94,260 annual",Much faster than average (7% or higher),"15,300",4.2,0.86,"Dental hygienists are well-protected by multiple hard defenses: irreplaceable physical chairside presence (A1: 5), licensure and legal accountability for clinical decisions (A4: 4), trust as a meaningful component of patient relationships (A2: 4), and genuine learning through diverse patient presentations (A8: 4). The role also involves clinical judgment in identifying pathology and communicating treatment plans (A3: 3). Significantly, hygienists spend roughly 30–40% of time on documentation and compliance work (A9: 4) that AI could streamline, freeing more time for clinical work and patient education—activities that leverage, rather than replace, their licensed expertise."
4,21-1094.00,Community Health Workers,Y,https://www.onetonline.org/link/summary/21-1094.00,"$24.54 hourly, $51,030 annual",Much faster than average (7% or higher),"7,800",4.3,0.858,"Trust and cultural legitimacy are the core product—clients engage because the CHW is a peer embedded in their community, speaking their language, understanding their lived context. Field presence in unstructured home/community settings with real judgment calls (crisis response, resource navigation, motivational interviewing) is irreplaceable. The worker's own transformation through relationship (learning about community needs, adapting approaches) is core to effectiveness. Significant admin burden (documentation, data entry) could be AI-compressed."
5,29-1041.00,Optometrists,Y,https://www.onetonline.org/link/summary/29-1041.00,"$64.82 hourly, $134,830 annual",Much faster than average (7% or higher),"2,400",4.5,0.857,"Optometrists are protected by legal licensure requirements (licensed independent practitioners), high-stakes judgment in diagnosis and treatment planning, and trust as a core product—patients seek a credentialed professional's opinion. Significant time spent on documentation and testing coordination can be automated."
5,29-1123.00,Physical Therapists,Y,https://www.onetonline.org/link/summary/29-1123.00,"$48.57 hourly, $101,020 annual",Much faster than average (7% or higher),"13,200",4.2,0.857,"Physical therapists are protected by high physical presence requirements, mandatory licensure with legal accountability, and trust as core to patient outcomes. Patient-specific treatment judgment in real-time, hands-on assessment and intervention, and the relational element of therapy provide strong defenses. AI can assist with documentation and treatment planning, freeing therapists to focus on direct patient care and outcomes."
5,29-1141.02,Advanced Practice Psychiatric Nurses,Y,https://www.onetonline.org/link/summary/29-1141.02,"$45.00 hourly, $93,600 annual",Faster than average (5% to 6%),"189,100",4.2,0.856,"Trust and human relationship are the core product—patients seek continuity of care and emotional safety that AI cannot replicate. Legal accountability is absolute: prescribing decisions and psychiatric assessment require licensed practitioner sign-off by law. Deep judgment in ambiguous, high-stakes situations (suicidality, medication interactions, crisis de-escalation) cannot be pattern-matched from data."
5,29-1071.01,Anesthesiologist Assistants,Y,https://www.onetonline.org/link/summary/29-1071.01,"$64.07 hourly, $133,260 annual",Much faster than average (7% or higher),"12,000",4.2,0.855,"High-stakes medical judgment (patient response variability, complication recognition), direct legal accountability for patient safety, and trust as a core product. Requires constant adaptation to patient physiology and real-time decision-making in unpredictable scenarios."
4,17-2141.02,Automotive Engineers,Y,https://www.onetonline.org/link/summary/17-2141.02,"$49.19 hourly, $102,320 annual",Much faster than average (7% or higher),"18,100",4.1,0.852,"Licensed engineers must stamp and certify designs (A4=4), creating irreplaceable legal accountability. Frequent novel judgment in complex system design (A3=4) and deep accumulated domain knowledge (A5=4) are core defenses. Strong AI management role (A10=4)—engineers will direct and validate autonomous systems—makes the role a direct beneficiary of industry transformation."
4,17-2141.01,Fuel Cell Engineers,Y,https://www.onetonline.org/link/summary/17-2141.01,"$49.19 hourly, $102,320 annual",Much faster than average (7% or higher),"18,100",4.1,0.852,"Fuel cell engineers are protected by Job Zone 4 complexity, novel problem-solving in emerging technology, and likely some licensing/certification for safety-critical systems. However, AI will increasingly assist in simulation, design optimization, and materials research, liberating engineers to focus on higher-level innovation."
5,29-1122.00,Occupational Therapists,Y,https://www.onetonline.org/link/summary/29-1122.00,"$47.28 hourly, $98,340 annual",Much faster than average (7% or higher),"10,200",4.2,0.852,"Trust is core—occupational therapy is fundamentally a human relationship in which the therapist's presence, empathy, and adaptive responsiveness drive healing. The therapist is transformed by each client's journey and must adjust interventions in real-time. Physical presence in therapeutic environments (homes, clinics) is required. Licensure provides legal standing, though not absolute liability."
4,15-1299.05,Information Security Engineers,Y,https://www.onetonline.org/link/summary/15-1299.05,"$52.39 hourly, $108,970 annual",Much faster than average (7% or higher),"31,300",4.0,0.851,"Security engineering involves high-stakes novel judgment about system design and adversarial dynamics, with direct legal and compliance accountability. Engineers actively oversee and design AI-driven security systems, positioning the role as a beneficiary of AI's rise. Time spent on routine security assessment and documentation can be compressed by AI tools."
5,19-1042.00,"Medical Scientists, Except Epidemiologists",Y,https://www.onetonline.org/link/summary/19-1042.00,"$48.36 hourly, $100,590 annual",Much faster than average (7% or higher),"9,600",4.2,0.85,"Medical scientists conduct novel research in unstructured, high-ambiguity settings where they navigate unprecedented scientific questions (A3: 5, A4: 3). They require years of deep institutional and domain knowledge (A5: 4) and are protected by publication and credentialing norms (A4: 3). While AI tools will accelerate their research (A9: 5), the core role is defining new questions and interpreting novel findings—intrinsically human work."
5,29-1291.00,Acupuncturists,Y,https://www.onetonline.org/link/summary/29-1291.00,"$37.57 hourly, $78,140 annual",Much faster than average (7% or higher),900,4.6,0.848,"Acupuncture is rooted in physical presence and touch—core services cannot be delivered remotely. Trust and the human relationship (understanding individual constitution, emotional state, treatment philosophy) are the product itself. Licensure and legal accountability protect the role; AI cannot physically insert needles or assess subtle pulse/tongue feedback."
5,29-1151.00,Nurse Anesthetists,Y,https://www.onetonline.org/link/summary/29-1151.00,"$107.31 hourly, $223,210 annual",Much faster than average (7% or higher),"2,700",4.4,0.847,"Legal liability and credentialing are absolute—anesthesia decisions must be made by a licensed CRNA who is liable for patient outcomes. Trust in the anesthetist is core to patient safety psychology. Constant high-stakes judgment in dynamic physiological situations (intraoperative complications, patient responses) requires genuine medical reasoning, not pattern-matching."
4,29-1141.01,Acute Care Nurses,Y,https://www.onetonline.org/link/summary/29-1141.01,"$45.00 hourly, $93,600 annual",Faster than average (5% to 6%),"189,100",4.1,0.843,"Acute care nursing is defined by physical presence (monitoring, medication administration, wound care, patient positioning) and high-stakes judgment in unstable, novel patient situations. Trust and human compassion are core to patient safety and outcomes. Legal accountability is direct and non-negotiable—nurses are liable for care decisions."
5,29-1181.00,Audiologists,Y,https://www.onetonline.org/link/summary/29-1181.00,"$44.29 hourly, $92,120 annual",Much faster than average (7% or higher),700,4.6,0.843,"Audiologists are protected by strong legal accountability (licensed diagnosis and prescription of hearing aids), deep patient relationships built over time, and the need for in-person physical testing in semi-structured clinical environments. The role requires novel judgment in complex cases (tinnitus, sudden hearing loss, fitting failures) and genuine therapeutic trust. AI could assist with routine testing interpretation but cannot replace clinical decision-making or patient counseling."
4,11-9199.10,Wind Energy Development Managers,Y,https://www.onetonline.org/link/summary/11-9199.10,"$65.65 hourly, $136,550 annual",Faster than average (5% to 6%),"106,700",4.2,0.843,"Wind energy development managers operate at the intersection of complex technical, regulatory, and stakeholder landscapes—their value derives from navigating political dynamics, managing competing interests, and making strategic judgments in high-stakes project development where precedent is limited. Deep institutional knowledge of regulatory frameworks, community relations, and organizational history is core to success. AI will substantially enhance the role by accelerating environmental impact analysis, financial modeling, and permit documentation, expanding capacity for more projects."
4,17-2071.00,Electrical Engineers,Y,https://www.onetonline.org/link/summary/17-2071.00,"$53.80 hourly, $111,910 annual",Much faster than average (7% or higher),"11,700",4.1,0.842,"Professional licensure (PE) with direct legal accountability and novel judgment in design/system integration of high-stakes electrical systems creates robust defense. Deep technical context and accumulated experience with client-specific infrastructure are core assets. High reliance on engineering judgment in novel, ambiguous situations; positioned to manage and direct AI-assisted design tools."
5,25-4012.00,Curators,Y,https://www.onetonline.org/link/summary/25-4012.00,"$29.70 hourly, $61,770 annual",Much faster than average (7% or higher),"1,800",4.4,0.838,"Curators combine multiple strong defenses: creative work reflecting a distinctive curatorial vision and expertise (A7: 4) is core market value, requiring novel judgment about artifact significance, exhibition narrative, and cultural meaning (A3: 4). Deep institutional knowledge of collections, provenance, and community context (A5: 5) is irreplaceable, and the role involves meaningful legal accountability for collection management and authentication (A4: 3). Trust and relationship-building with donors, communities, and scholars (A2: 3) matter significantly. AI tools for cataloging and research (A9: 4) augment curatorial expertise without replacing it."
3,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",Y,https://www.onetonline.org/link/summary/39-5012.00,"$16.95 hourly, $35,250 annual",Faster than average (5% to 6%),"75,800",4.2,0.836,"Physical presence in unstructured environments and the trust-based nature of the service are the strongest defenses. Creative execution reflecting the stylist's distinct perspective and direct client interaction provide moderate additional protection. However, low legal accountability and limited institutional context mean the role relies primarily on dexterity and interpersonal skills."
5,29-1051.00,Pharmacists,Y,https://www.onetonline.org/link/summary/29-1051.00,"$66.10 hourly, $137,480 annual",Faster than average (5% to 6%),"14,200",4.5,0.836,"Pharmacists hold direct legal liability for dispensing, patient safety, and drug interaction judgment (A4: 5) and require licensure that law will not delegate to AI (A4: 5). They render judgment on complex, sometimes novel medication scenarios across diverse patient populations (A3: 4) and build trust-based relationships that are central to patient outcomes (A2: 4). AI will automate prescription verification, insurance navigation, and routine counseling scripts (A9: 5), freeing pharmacists for clinical consultation and medication therapy management."
3,29-1126.00,Respiratory Therapists,Y,https://www.onetonline.org/link/summary/29-1126.00,"$38.68 hourly, $80,450 annual",Much faster than average (7% or higher),"8,800",4.1,0.836,"Licensed clinical role with direct legal and ethical accountability for patient care—no AI substitute will be legally permitted regardless of technical capability. Requires constant physical presence in unstructured clinical settings (ICU, ER, bedside) with complex patient-specific judgment calls on ventilator settings, medications, and emergency response. Trust and accountability are core to the patient relationship."
5,29-9091.00,Athletic Trainers,Y,https://www.onetonline.org/link/summary/29-9091.00,"$60,250 annual",Much faster than average (7% or higher),"2,400",4.3,0.832,"Athletic trainers combine high physical presence in unstructured environments (game-time decision-making in chaotic settings), licensed accountability for patient care decisions, and deep contextual knowledge of individual athletes' histories and vulnerabilities. Trust and the therapeutic relationship are core to athlete compliance and recovery. AI could assist with injury classification but cannot replace clinical judgment in acute settings."
5,25-1032.00,"Engineering Teachers, Postsecondary",Y,https://www.onetonline.org/link/summary/25-1032.00,"$106,120 annual",Much faster than average (7% or higher),"4,100",4.2,0.832,"Strong defenses from novel judgment in curriculum design, deep institutional knowledge of research and pedagogy, legal requirement for credentialed faculty, and transformative student relationships. Trust in expertise and political/stakeholder navigation within academia add resilience. High demand for expertise validation as AI tools flood engineering education creates upstream expansion."
3,49-9092.00,Commercial Divers,Y,https://www.onetonline.org/link/summary/49-9092.00,"$29.39 hourly, $61,130 annual",Much faster than average (7% or higher),400,4.6,0.83,"Commercial diving is one of the hardest-defended roles: work occurs in extreme, unpredictable underwater environments where no robot can reliably operate yet. High-stakes judgment calls (decompression safety, emergency response, equipment failures at depth) are genuinely novel and catastrophic if wrong. Federal maritime law requires human certification and liability; insurance mandates licensed divers for critical work. Physical presence in harsh conditions is irreplaceable."
5,29-1161.00,Nurse Midwives,Y,https://www.onetonline.org/link/summary/29-1161.00,"$61.92 hourly, $128,790 annual",Much faster than average (7% or higher),500,4.5,0.823,"Physical presence and hands-on skill are irreplaceable in labor and delivery; midwifery is inherently embodied work. Legal accountability and licensure are absolute—a nurse-midwife must be present and liable for all clinical decisions. The human relationship and trust are core to how midwifery works; patients need a present, responsive human advocate."
4,17-2061.00,Computer Hardware Engineers,Y,https://www.onetonline.org/link/summary/17-2061.00,"$74.53 hourly, $155,020 annual",Much faster than average (7% or higher),"4,700",4.1,0.822,Novel judgment in design and troubleshooting of complex hardware systems (A3=4) provides solid defense; hardware design still involves genuinely novel engineering problems. Some legal accountability in safety-critical systems (A4=3). Physical presence and hands-on prototyping/testing (A1=3) offer modest protection. Deep technical context (A5=3) is required for domain mastery.
3,11-9199.09,Wind Energy Operations Managers,Y,https://www.onetonline.org/link/summary/11-9199.09,"$65.65 hourly, $136,550 annual",Faster than average (5% to 6%),"106,700",4.0,0.818,"Wind energy operations managers combine regulatory accountability (compliance with grid interconnection, environmental, and safety standards), complex stakeholder management across utility, environmental, and community actors, and accumulated organizational knowledge of facility-specific performance and supply chains. They exercise regular judgment in operational trade-offs and risk management. AI will expand the role significantly by automating performance monitoring, predictive maintenance optimization, and regulatory reporting, freeing focus on strategic operations and supply chain resilience."
5,29-9092.00,Genetic Counselors,Y,https://www.onetonline.org/link/summary/29-9092.00,"$47.55 hourly, $98,910 annual",Much faster than average (7% or higher),300,4.5,0.812,"Trust and relationship are the core product (A2=5)—patients need empathetic human guidance through emotionally complex decisions, not just information. Legal accountability is significant (A4=4), and the role requires contextual judgment about family dynamics and values. AI will augment counselors with better data synthesis (A9=4), making them more effective rather than obsolete."
5,29-1011.00,Chiropractors,Y,https://www.onetonline.org/link/summary/29-1011.00,"$37.98 hourly, $79,000 annual",Much faster than average (7% or higher),"2,800",4.1,0.811,"Strong legal accountability (A4: 4) as licensed provider with liability for treatment decisions. Trust as core product (A2: 4) drives patient value and repeat business. Significant physical presence and dexterity (A1: 4) for manipulation and adjustment. Moderate novel judgment (A3: 3) in diagnosis and treatment planning. Some institutional knowledge (A5: 2) and experience-driven growth (A8: 3). Offensive score (A9: 3, A10: 2) reflects limited AI leverage."
